car_brand,car_model,car_driven,car_transmission,car_model_year,car_price
GMC,Sierra,9933.0,Automatic,2019,140000.0
Lincoln,Town,120000.0,Automatic,1986,40000.0
Toyota,Camry,300000.0,Manual,2005,11000.0
Hyundai,Accent,140000.0,Automatic,2016,24000.0
Honda,Accord,221999.0,Automatic,2006,25000.0
Nissan,X-Trail,151000.0,Automatic,2015,42000.0
Toyota,Corolla,250000.0,CVT,2015,28000.0
Hyundai,H1,236000.0,Manual,2006,11000.0
Hyundai,Accent,77000.0,Automatic,2018,32000.0
Dodge,Charger,21000.0,Automatic,2020,120000.0
Toyota,Corolla,235000.0,CVT,2012,22000.0
Toyota,Yaris,67000.0,Automatic,2016,34000.0
Nissan,Sunny,331000.0,CVT,2009,10000.0
Ford,Mondeo,200000.0,Manual,2002,6000.0
Nissan,Altima,220000.0,CVT,2006,9000.0
Toyota,Yaris,130000.0,Automatic,2017,30000.0
Jeep,Compass,255000.0,Automatic,2007,11500.0
Hyundai,Genesis,107000.0,Automatic,2013,48000.0
Hyundai,Azera,124100.0,Automatic,2017,48000.0
Volvo,C30,158000.0,Automatic,2009,21000.0
Mini,Cooper,144000.0,Manual,2015,60000.0
Mazda,CX-9,17800.0,Automatic,2020,138000.0
Dodge,Charger,280.0,Automatic,2010,20000.0
Hyundai,Elantra,398263.0,Automatic,2007,10000.0
Honda,Accord,12000.0,Automatic,2019,50000.0
Mitsubishi,Pajero,3500.0,Automatic,2020,100000.0
Chevrolet,Trailblazer,92700.0,Automatic,2013,40000.0
GMC,Acadia,88500.0,Automatic,2011,40000.0
Toyota,Corolla,260000.0,Automatic,2014,30000.0
Toyota,Hilux,402050.0,Manual,2002,20000.0
Mazda,CX-9,112000.0,Automatic,2014,57000.0
Ford,Explorer,130000.0,Automatic,2016,75000.0
Kia,Carnival,251000.0,Automatic,2011,16000.0
BMW,5,95000.0,Automatic,2016,78000.0
Kia,Picanto,122000.0,Automatic,2015,18500.0
Hyundai,Elantra,179999.0,Automatic,2016,31000.0
Toyota,Avalon,145000.0,Automatic,2016,65000.0
Toyota,Hilux,120000.0,Manual,2016,68000.0
Kia,Rio,138000.0,Automatic,2015,24500.0
Ford,Figo,51553.0,Automatic,2016,20999.0
Ford,Expedition,112000.0,Automatic,2012,52500.0
Ford,Figo,33643.0,Automatic,2016,20999.0
Ford,Figo,61105.0,Automatic,2016,20999.0
Ford,Focus,125041.0,Automatic,2012,16999.0
Ford,Taurus,80040.0,Automatic,2015,58999.0
Ford,Taurus,167219.0,Automatic,2013,39000.0
Ford,Taurus,5318.0,Automatic,2017,95000.0
Ford,Taurus,99421.0,Automatic,2014,48000.0
Ford,Figo,23172.0,Automatic,2016,20999.0
Ford,Fusion,36900.0,Automatic,2017,64999.0
Ford,Taurus,55012.0,Automatic,2016,70000.0
Ford,Escape,66323.0,Automatic,2015,44999.0
Ford,Figo,20190.0,Automatic,2016,20999.0
Ford,Taurus,191302.0,Automatic,2013,33999.0
Ford,Figo,31038.0,Automatic,2016,20999.0
Ford,Figo,20221.0,Automatic,2016,20999.0
Ford,Figo,26993.0,Automatic,2016,20999.0
Lincoln,MKS,22456.0,Automatic,2015,79999.0
Ford,Explorer,53035.0,Automatic,2014,62999.0
Ford,Explorer,136586.0,Automatic,2012,44999.0
Ford,Edge,145150.0,Automatic,2013,55999.0
Lincoln,Continental,105.0,Automatic,2017,235999.0
Ford,Taurus,147600.0,Automatic,2013,39999.0
Ford,Expedition,105100.0,Automatic,2013,53999.0
Ford,Explorer,89000.0,Automatic,2013,54999.0
Ford,Edge,157000.0,Automatic,2013,43999.0
Ford,EcoSport,186000.0,Automatic,2014,23000.0
Ford,Focus,93700.0,Automatic,2014,24999.0
Ford,Ranger,43961.0,Manual,2016,54999.0
Ford,Expedition,165.0,Automatic,2017,124999.0
Ford,Expedition,147.0,Automatic,2017,139999.0
Toyota,Corolla,43814.0,Automatic,2016,49999.0
Ford,Explorer,18900.0,Automatic,2016,129999.0
Ford,Explorer,132368.0,Automatic,2013,54999.0
Toyota,Corolla,18652.0,Automatic,2016,50000.0
Ford,Explorer,68114.0,Automatic,2015,63999.0
Ford,Explorer,853.0,Automatic,2017,135999.0
Ford,Taurus,1606.0,Automatic,2017,110000.0
Ford,Fusion,95395.0,Automatic,2014,33000.0
Ford,Taurus,85.0,Automatic,2017,109999.0
Ford,Edge,71188.0,Automatic,2012,50400.0
Ford,Expedition,3960.0,Automatic,2017,150150.0
Toyota,Camry,42249.0,Automatic,2015,52500.0
Toyota,Camry,39706.0,Automatic,2015,52500.0
Toyota,Camry,90109.0,Automatic,2015,49999.0
Ford,Expedition,92618.0,Automatic,2014,59999.0
Toyota,Camry,49210.0,Automatic,2015,51999.0
Ford,Edge,18815.0,Automatic,2013,51729.0
Ford,Taurus,35000.0,Automatic,2015,94500.0
Ford,Expedition,68281.0,Automatic,2016,90999.0
Lincoln,Continental,10300.0,Automatic,2017,259999.0
Lincoln,Continental,680.0,Automatic,2017,284999.0
Ford,Focus,48854.0,Automatic,2013,20000.0
Ford,Fusion,14505.0,Automatic,2016,44999.0
Ford,Fusion,17110.0,Automatic,2016,48999.0
Ford,Focus,27202.0,Automatic,2016,44999.0
Ford,Expedition,6214.0,Automatic,2016,102999.0
Toyota,Camry,50287.0,Automatic,2015,51450.0
Ford,Edge,606.0,Automatic,2017,134999.0
Ford,Expedition,13333.0,Automatic,2016,94999.0
Lincoln,Navigator,102500.0,Automatic,2012,84000.0
Ford,Ranger,8184.0,Manual,2011,24999.0
Ford,Flex,2700.0,Automatic,2016,93450.0
Ford,Taurus,26900.0,Automatic,2016,73000.0
Ford,Edge,361.0,Automatic,2017,109999.0
Ford,Expedition,155766.0,Automatic,2013,54999.0
Ford,Expedition,1218.0,Automatic,2017,142999.0
Ford,Mustang,7796.0,Automatic,2017,156000.0
Ford,Edge,1130.0,Automatic,2017,100500.0
Ford,Ranger,90033.0,Manual,2011,22999.0
Lincoln,MKX,35667.0,Automatic,2016,167999.0
Ford,Expedition,92409.0,Automatic,2013,54999.0
Ford,Expedition,92823.0,Automatic,2015,73499.0
Ford,Edge,1682.0,Automatic,2017,134999.0
Ford,Expedition,2129.0,Automatic,2017,155999.0
Ford,Mustang,15878.0,Automatic,2017,189000.0
Ford,Edge,335.0,Automatic,2017,134999.0
Ford,Edge,727.0,Automatic,2017,129999.0
Ford,Edge,2774.0,Automatic,2017,134999.0
Ford,Edge,4422.0,Automatic,2017,134999.0
Ford,Edge,21.0,Automatic,2017,111300.0
Ford,Taurus,22114.0,Automatic,2017,99999.0
Ford,Taurus,7000.0,Automatic,2017,142800.0
Ford,Expedition,118300.0,Automatic,2012,52500.0
Ford,Focus,1739.0,Automatic,2017,42000.0
Ford,Explorer,165500.0,Automatic,2013,52499.0
Ford,Expedition,16834.0,Automatic,2017,149999.0
Ford,Expedition,1243.0,Automatic,2017,165999.0
Ford,Fusion,22603.0,Automatic,2015,45000.0
Ford,Expedition,82604.0,Automatic,2012,52498.0
Ford,Edge,255.0,Automatic,2017,124999.0
Ford,Edge,71188.0,Automatic,2012,57750.0
Ford,Expedition,561.0,Automatic,2017,126000.0
Ford,Edge,4483.0,Automatic,2017,120750.0
Ford,Edge,56723.0,Automatic,2014,59999.0
Ford,Expedition,83800.0,Automatic,2014,78750.0
Ford,Ranger,35511.0,Manual,2016,60900.0
Ford,Focus,2218.0,Automatic,2016,37800.0
Lincoln,MKT,72339.0,Automatic,2013,72449.0
Ford,Expedition,116963.0,Automatic,2012,52498.0
Ford,Taurus,29900.0,Automatic,2015,56000.0
Ford,Taurus,15276.0,Automatic,2016,64999.0
Ford,Expedition,90660.0,Automatic,2012,52498.0
Ford,Fusion,115250.0,Automatic,2015,45000.0
Lincoln,MKT,68317.0,Automatic,2015,99999.0
Ford,Edge,132239.0,Automatic,2013,41999.0
Ford,Focus,28000.0,Automatic,2016,37800.0
Lincoln,MKS,21667.0,Automatic,2014,93450.0
Ford,Fusion,10666.0,Automatic,2015,52500.0
Toyota,Yaris,86000.0,Automatic,2017,27000.0
Chevrolet,Aveo,172999.0,Automatic,2011,11500.0
Hyundai,Accent,89000.0,Automatic,2011,15500.0
Mercedes-Benz,SLC,25000.0,Automatic,2018,160000.0
GMC,Acadia,300000.0,Automatic,2008,17500.0
Honda,Civic,300000.0,Automatic,2008,15000.0
Ford,Focus,134000.0,Manual,2013,19500.0
Toyota,Land,210000.0,Automatic,2011,65000.0
Toyota,Corolla,75000.0,CVT,2018,45000.0
Toyota,Corolla,49499.0,CVT,2018,47000.0
Toyota,Corolla,400000.0,CVT,2005,13000.0
Renault,Duster,250000.0,Automatic,2015,17000.0
Kia,Sportage,98000.0,Automatic,2018,60000.0
Hyundai,H1,258000.0,Automatic,2011,21000.0
Toyota,Corolla,225000.0,Manual,2010,18500.0
Hyundai,Accent,90000.0,Automatic,2017,27500.0
Hyundai,Accent,297000.0,Manual,2013,13000.0
BMW,5,99000.0,Automatic,2013,60000.0
Toyota,Land,20000.0,Automatic,2016,90000.0
Hyundai,Veloster,190000.0,Automatic,2012,23500.0
Toyota,Corolla,94300.0,CVT,2015,26000.0
Renault,Clio,108000.0,Manual,2008,5400.0
Toyota,Camry,240000.0,Automatic,2011,30000.0
Honda,Accord,211000.0,Automatic,2011,24000.0
Honda,Civic,290000.0,Automatic,2009,14500.0
Toyota,Camry,182000.0,Automatic,2016,45000.0
Hyundai,Sonata,158000.0,Automatic,2015,30000.0
Chevrolet,Aveo,218000.0,Manual,2005,6000.0
Hyundai,Sonata,51000.0,Automatic,2019,60000.0
Ford,EcoSport,100000.0,Automatic,2014,25500.0
Kia,Opirus,110000.0,Automatic,2008,12000.0
Toyota,Yaris,136000.0,Automatic,2016,28000.0
Dodge,Charger,199000.0,Automatic,2010,18000.0
Mitsubishi,4th,3000.0,Automatic,2020,100000.0
Volkswagen,Jetta,176600.0,Automatic,2009,12000.0
Dodge,Charger,234000.0,Automatic,2010,22000.0
Toyota,Corolla,75000.0,Automatic,2019,52500.0
Hyundai,Accent,120000.0,Automatic,2017,25000.0
Toyota,Camry,260000.0,Automatic,2014,32000.0
Chevrolet,Spark,84000.0,Automatic,2017,17000.0
Chevrolet,Tahoe,199000.0,Automatic,2015,115000.0
Toyota,Rav4,111000.0,Automatic,2015,52000.0
Chevrolet,Spark,77000.0,Automatic,2018,19000.0
Kia,Cerato,212000.0,Automatic,2016,24000.0
Toyota,Innova,322000.0,Automatic,2013,32000.0
Chevrolet,Epica,262000.0,Automatic,2007,10000.0
Hyundai,Sonata,87000.0,Automatic,2018,53000.0
Mazda,6,322000.0,Automatic,2005,9000.0
Kia,Rio,207997.0,Automatic,2012,13000.0
Mitsubishi,4th,3000.0,Automatic,2020,100000.0
Dodge,Durango,184500.0,Automatic,2013,35000.0
Dodge,Durango,184500.0,Automatic,2013,35000.0
Hyundai,Accent,293000.0,Manual,2007,10500.0
Chevrolet,Suburban,80000.0,Automatic,2007,35000.0
Nissan,Maxima,255000.0,Automatic,2004,7500.0
Kia,Cerato,167000.0,Automatic,2014,25000.0
Toyota,Camry,426000.0,Manual,2007,14000.0
Hyundai,Accent,155000.0,Automatic,2016,30500.0
Toyota,Camry,800.0,CVT,2020,105000.0
Toyota,Camry,800.0,CVT,2020,105000.0
Nissan,Sunny,100000.0,Automatic,2018,25000.0
Dodge,Charger,48500.0,Automatic,2017,150000.0
Kia,Optima,127000.0,Automatic,2015,32000.0
Ford,Expedition,112000.0,Automatic,2012,52500.0
Ford,Focus,125041.0,Automatic,2012,16999.0
Ford,Figo,61105.0,Automatic,2016,20999.0
Ford,Figo,51553.0,Automatic,2016,20999.0
Ford,Figo,33643.0,Automatic,2016,20999.0
Ford,Taurus,5318.0,Automatic,2017,95000.0
Ford,Taurus,99421.0,Automatic,2014,48000.0
Ford,Taurus,80040.0,Automatic,2015,58999.0
Ford,Taurus,167219.0,Automatic,2013,39000.0
Ford,Taurus,55012.0,Automatic,2016,70000.0
Ford,Fusion,36900.0,Automatic,2017,64999.0
Ford,Figo,23172.0,Automatic,2016,20999.0
Ford,Figo,31038.0,Automatic,2016,20999.0
Ford,Figo,20190.0,Automatic,2016,20999.0
Ford,Escape,66323.0,Automatic,2015,44999.0
Ford,Figo,26993.0,Automatic,2016,20999.0
Ford,Figo,20221.0,Automatic,2016,20999.0
Ford,Taurus,191302.0,Automatic,2013,33999.0
Lincoln,MKS,22456.0,Automatic,2015,79999.0
Ford,Explorer,136586.0,Automatic,2012,44999.0
Ford,Explorer,53035.0,Automatic,2014,62999.0
Lincoln,Continental,105.0,Automatic,2017,235999.0
Ford,Taurus,147600.0,Automatic,2013,39999.0
Ford,Explorer,89000.0,Automatic,2013,54999.0
Ford,Edge,145150.0,Automatic,2013,55999.0
Ford,Expedition,105100.0,Automatic,2013,53999.0
Ford,Focus,93700.0,Automatic,2014,24999.0
Ford,Edge,157000.0,Automatic,2013,43999.0
Ford,EcoSport,186000.0,Automatic,2014,23000.0
Ford,Expedition,165.0,Automatic,2017,124999.0
Ford,Ranger,43961.0,Manual,2016,54999.0
Toyota,Corolla,43814.0,Automatic,2016,49999.0
Ford,Expedition,147.0,Automatic,2017,139999.0
Ford,Explorer,132368.0,Automatic,2013,54999.0
Ford,Explorer,18900.0,Automatic,2016,129999.0
Toyota,Corolla,18652.0,Automatic,2016,50000.0
Ford,Taurus,1606.0,Automatic,2017,110000.0
Ford,Explorer,68114.0,Automatic,2015,63999.0
Ford,Explorer,853.0,Automatic,2017,135999.0
Ford,Taurus,85.0,Automatic,2017,109999.0
Ford,Fusion,95395.0,Automatic,2014,33000.0
Ford,Expedition,3960.0,Automatic,2017,150150.0
Ford,Edge,71188.0,Automatic,2012,50400.0
Toyota,Camry,42249.0,Automatic,2015,52500.0
Toyota,Camry,90109.0,Automatic,2015,49999.0
Toyota,Camry,39706.0,Automatic,2015,52500.0
Ford,Expedition,92618.0,Automatic,2014,59999.0
Toyota,Camry,49210.0,Automatic,2015,51999.0
Ford,Edge,18815.0,Automatic,2013,51729.0
Lincoln,Continental,680.0,Automatic,2017,284999.0
Lincoln,Continental,10300.0,Automatic,2017,259999.0
Ford,Taurus,35000.0,Automatic,2015,94500.0
Ford,Expedition,68281.0,Automatic,2016,90999.0
Ford,Focus,48854.0,Automatic,2013,20000.0
Ford,Focus,27202.0,Automatic,2016,44999.0
Ford,Fusion,17110.0,Automatic,2016,48999.0
Ford,Fusion,14505.0,Automatic,2016,44999.0
Ford,Expedition,6214.0,Automatic,2016,102999.0
Toyota,Camry,50287.0,Automatic,2015,51450.0
Lincoln,Navigator,102500.0,Automatic,2012,84000.0
Ford,Edge,606.0,Automatic,2017,134999.0
Ford,Expedition,13333.0,Automatic,2016,94999.0
Ford,Ranger,8184.0,Manual,2011,24999.0
Ford,Taurus,26900.0,Automatic,2016,73000.0
Ford,Flex,2700.0,Automatic,2016,93450.0
Ford,Expedition,155766.0,Automatic,2013,54999.0
Ford,Edge,361.0,Automatic,2017,109999.0
Ford,Mustang,7796.0,Automatic,2017,156000.0
Ford,Expedition,1218.0,Automatic,2017,142999.0
Ford,Edge,1130.0,Automatic,2017,100500.0
Ford,Ranger,90033.0,Manual,2011,22999.0
Lincoln,MKX,35667.0,Automatic,2016,167999.0
Ford,Expedition,92823.0,Automatic,2015,73499.0
Ford,Expedition,92409.0,Automatic,2013,54999.0
Ford,Mustang,15878.0,Automatic,2017,189000.0
Ford,Edge,1682.0,Automatic,2017,134999.0
Ford,Expedition,2129.0,Automatic,2017,155999.0
Ford,Edge,727.0,Automatic,2017,129999.0
Ford,Edge,335.0,Automatic,2017,134999.0
Ford,Edge,2774.0,Automatic,2017,134999.0
Ford,Taurus,22114.0,Automatic,2017,99999.0
Ford,Edge,4422.0,Automatic,2017,134999.0
Ford,Edge,21.0,Automatic,2017,111300.0
Ford,Taurus,7000.0,Automatic,2017,142800.0
Ford,Expedition,118300.0,Automatic,2012,52500.0
Ford,Expedition,16834.0,Automatic,2017,149999.0
Ford,Explorer,165500.0,Automatic,2013,52499.0
Ford,Focus,1739.0,Automatic,2017,42000.0
Ford,Expedition,1243.0,Automatic,2017,165999.0
Renault,Safrane,200.0,Automatic,2012,15500.0
Ford,Edge,255.0,Automatic,2017,124999.0
Ford,Fusion,22603.0,Automatic,2015,45000.0
Ford,Expedition,561.0,Automatic,2017,126000.0
Ford,Expedition,82604.0,Automatic,2012,52498.0
Ford,Edge,71188.0,Automatic,2012,57750.0
Ford,Ranger,35511.0,Manual,2016,60900.0
Ford,Edge,4483.0,Automatic,2017,120750.0
Ford,Expedition,83800.0,Automatic,2014,78750.0
Ford,Edge,56723.0,Automatic,2014,59999.0
Ford,Focus,2218.0,Automatic,2016,37800.0
Ford,Taurus,29900.0,Automatic,2015,56000.0
Ford,Expedition,116963.0,Automatic,2012,52498.0
Lincoln,MKT,72339.0,Automatic,2013,72449.0
Ford,Taurus,15276.0,Automatic,2016,64999.0
Ford,Fusion,115250.0,Automatic,2015,45000.0
Ford,Expedition,90660.0,Automatic,2012,52498.0
Lincoln,MKT,68317.0,Automatic,2015,99999.0
Ford,Edge,132239.0,Automatic,2013,41999.0
Lincoln,MKS,21667.0,Automatic,2014,93450.0
Ford,Fusion,10666.0,Automatic,2015,52500.0
Ford,Focus,28000.0,Automatic,2016,37800.0
Lincoln,Navigator,102500.0,Automatic,2012,84000.0
Ford,Expedition,13333.0,Automatic,2016,94999.0
Ford,Taurus,26900.0,Automatic,2016,73000.0
Ford,Expedition,155766.0,Automatic,2013,54999.0
Ford,Ranger,8184.0,Manual,2011,24999.0
Ford,Flex,2700.0,Automatic,2016,93450.0
Ford,Edge,361.0,Automatic,2017,109999.0
Ford,Mustang,7796.0,Automatic,2017,156000.0
Ford,Expedition,92823.0,Automatic,2015,73499.0
Ford,Edge,1130.0,Automatic,2017,100500.0
Ford,Ranger,90033.0,Manual,2011,22999.0
Ford,Expedition,1218.0,Automatic,2017,142999.0
Ford,Expedition,92409.0,Automatic,2013,54999.0
Lincoln,MKX,35667.0,Automatic,2016,167999.0
Ford,Edge,1682.0,Automatic,2017,134999.0
Ford,Mustang,15878.0,Automatic,2017,189000.0
Ford,Expedition,2129.0,Automatic,2017,155999.0
Ford,Edge,335.0,Automatic,2017,134999.0
Ford,Edge,2774.0,Automatic,2017,134999.0
Ford,Edge,727.0,Automatic,2017,129999.0
Ford,Edge,21.0,Automatic,2017,111300.0
Ford,Edge,4422.0,Automatic,2017,134999.0
Ford,Taurus,22114.0,Automatic,2017,99999.0
Ford,Taurus,7000.0,Automatic,2017,142800.0
Ford,Focus,1739.0,Automatic,2017,42000.0
Ford,Expedition,118300.0,Automatic,2012,52500.0
Ford,Expedition,16834.0,Automatic,2017,149999.0
Ford,Explorer,165500.0,Automatic,2013,52499.0
Ford,Expedition,1243.0,Automatic,2017,165999.0
Ford,Expedition,82604.0,Automatic,2012,52498.0
Ford,Fusion,22603.0,Automatic,2015,45000.0
Ford,Edge,255.0,Automatic,2017,124999.0
Ford,Edge,71188.0,Automatic,2012,57750.0
Ford,Edge,56723.0,Automatic,2014,59999.0
Ford,Expedition,561.0,Automatic,2017,126000.0
Ford,Edge,4483.0,Automatic,2017,120750.0
Ford,Ranger,35511.0,Manual,2016,60900.0
Ford,Focus,2218.0,Automatic,2016,37800.0
Ford,Expedition,83800.0,Automatic,2014,78750.0
Lincoln,MKT,72339.0,Automatic,2013,72449.0
Ford,Taurus,29900.0,Automatic,2015,56000.0
Ford,Expedition,116963.0,Automatic,2012,52498.0
Ford,Expedition,90660.0,Automatic,2012,52498.0
Ford,Taurus,15276.0,Automatic,2016,64999.0
Ford,Fusion,115250.0,Automatic,2015,45000.0
Ford,Edge,132239.0,Automatic,2013,41999.0
Lincoln,MKT,68317.0,Automatic,2015,99999.0
Ford,Fusion,10666.0,Automatic,2015,52500.0
Ford,Focus,28000.0,Automatic,2016,37800.0
Lincoln,MKS,21667.0,Automatic,2014,93450.0
Lincoln,MKT,68317.0,Automatic,2015,99999.0
Ford,Focus,28000.0,Automatic,2016,37800.0
Lincoln,MKS,21667.0,Automatic,2014,93450.0
Ford,Taurus,29900.0,Automatic,2015,56000.0
Lincoln,MKT,68317.0,Automatic,2015,99999.0
Lincoln,MKS,21667.0,Automatic,2014,93450.0
Ford,Focus,28000.0,Automatic,2016,37800.0
Ford,Expedition,16834.0,Automatic,2017,149999.0
Ford,Explorer,165500.0,Automatic,2013,52499.0
Ford,Focus,1739.0,Automatic,2017,42000.0
Ford,Edge,255.0,Automatic,2017,124999.0
Ford,Fusion,22603.0,Automatic,2015,45000.0
Ford,Expedition,82604.0,Automatic,2012,52498.0
Ford,Expedition,561.0,Automatic,2017,126000.0
Ford,Expedition,83800.0,Automatic,2014,78750.0
Ford,Focus,2218.0,Automatic,2016,37800.0
Toyota,Camry,191000.0,Automatic,2015,28000.0
Ford,Taurus,29900.0,Automatic,2015,56000.0
Renault,Fluence,156000.0,Automatic,2014,14500.0
Ford,Explorer,113000.0,Automatic,2012,58000.0
Lincoln,MKT,68317.0,Automatic,2015,99999.0
Lincoln,MKS,21667.0,Automatic,2014,93450.0
Ford,Focus,28000.0,Automatic,2016,37800.0
Honda,Civic,94000.0,Automatic,2005,11000.0
Mazda,6,180000.0,Automatic,2016,48000.0
Honda,Accord,306000.0,Automatic,2008,22500.0
Ford,Focus,165000.0,Automatic,2013,24000.0
Hyundai,Accent,350000.0,Manual,2009,10000.0
Geely,Emgrand,170000.0,Manual,2012,9000.0
